Number_of_traffic_accidents,Number_of_people_infected_with_corona,Number_of_traffic_accidents_per_day,Number_of_people_infected_with_corona_per_day,month
27523,67,887.8387097,2.161290323,1 
27443,225,946.3103448,7.75862069,2 
27763,1992,895.5806452,64.25806452,3 
20805,12187,693.5,406.2333333,4 
18107,2477,584.0967742,79.90322581,5 
23846,1865,794.8666667,62.16666667,6 
24951,17651,804.8709677,569.3870968,7 
24693,32129,796.5483871,1036.419355,8 
25250,15194,841.6666667,506.4666667,9 
28725,17744,926.6129032,572.3870968,10 
28521,47501,950.7,1583.366667,11 
31551,86926,1017.774194,2804.064516,12 
